TermCode,StartDate,EndDate
2021W,2021-01-05,2021-04-25
2021S,2021-05-10,2021-08-20
2021F,2021-09-06,2021-12-20
2022W,2022-01-05,2022-04-25
2022S,2022-05-10,2022-08-20
2022F,2022-09-06,2022-12-20
2023W,2023-01-05,2023-04-25
2023S,2023-05-10,2023-08-20
2023F,2023-09-06,2023-12-20
2024W,2024-01-05,2024-04-25
2024S,2024-05-10,2024-08-20
2024F,2024-09-06,2024-12-20
2025W,2025-01-05,2025-04-25
2025S,2025-05-10,2025-08-20
2025F,2025-09-06,2025-12-20
2026W,2026-01-05,2026-04-25
2026S,2026-05-10,2026-08-20
2026F,2026-09-06,2026-12-20
